Tujuan Kab/Kota/Kec;Tujuan ID Kantor;Tujuan KPRK;Tarif Paket Pos >2 s.d 3 Kg;Tarif per Kg Berikutnya
Wonogiri;57600;57600;111.000;37.000
Karanganyar;57700;57700;111.000;37.000
Purwodadigrobogan;58100;58100;111.000;37.000
Blora;58200;58200;138.000;46.000
Pati;59100;59100;111.000;37.000
Bulu;59255;59100;117.000;39.000
Kudus;59300;59300;111.000;37.000
Jepara;59400;59400;111.000;37.000
Karimunjawa;59455;59400;141.000;47.000
Demak;59500;50000;103.500;34.500
Surabaya;60000;60000;94.500;31.500
Surabayaselatan;60300;60300;103.500;34.500
Gresik;61100;61100;103.500;34.500
Bawean;61181;61100;133.500;44.500
Sidoarjo;61200;61200;103.500;34.500
Mojokerto;61300;61300;121.500;40.500
Bangsal;61381;61300;127.500;42.500
Jombang;61400;61400;139.500;46.500
Bojonegoro;62100;62100;111.000;37.000
Lamongan;62200;62200;120.000;40.000
Tuban;62300;62300;120.000;40.000
Madiun;63100;63100;121.500;40.500
Balerejo;63152;63100;127.500;42.500
Ngawi;63200;63200;139.500;46.500
Magetan;63300;63300;139.500;46.500
Ponorogo;63400;63400;139.500;46.500
Arjosari;63581;63400;154.500;51.500
Kediri;64100;64100;121.500;40.500
Badas;64221;64100;127.500;42.500
Nganjuk;64400;64400;139.500;46.500
Malang;65100;65100;109.500;36.500
Ampelgading;65183;65100;115.500;38.500
Batu;65311;65100;115.500;38.500
Blitar;66100;66100;139.500;46.500
Tulungagung;66200;66200;120.000;40.000
Dongko;66363;66200;126.000;42.000
Pasuruan;67100;67100;129.000;43.000
Bangil;67153;67100;135.000;45.000
Probolinggo;67200;67200;121.500;40.500
Bantaran;67261;67200;127.500;42.500
Lumajang;67300;67300;139.500;46.500
Jember;68100;68100;121.500;40.500
Bondowoso;68200;68200;139.500;46.500
Situbondo;68300;68300;139.500;46.500
Banyuwangi;68400;68400;139.500;46.500
Bangkalan;69100;69100;120.000;40.000
Banyuates;69263;69100;126.000;42.000
Pamekasan;69300;69300;120.000;40.000
Sumenep;69400;69400;148.500;49.500
Giligenting;69482;69400;178.500;59.500
Gayam;69483;69400;178.500;59.500
Raas;69485B1;69400;178.500;59.500
Arjasa;69491;69400;178.500;59.500
Masalembu;69492;69400;178.500;59.500
Sapeken;69493;69400;178.500;59.500
Banjarmasin;70000;70000;129.000;43.000
Anjirmuara;70564;70000;144.000;48.000
Aluhaluh;70655;70700;129.000;43.000
Banjarbaru;70700;70700;129.000;43.000
Batibati;70852;70700;144.000;48.000
Binuang;71183;71200;154.500;51.500
Kandangan;71200;71200;148.500;49.500
Barabai;71300;71400;154.500;51.500
Amuntai;71400;71400;148.500;49.500
Haruai;71572;71400;163.500;54.500
Awayan;71664;71400;154.500;51.500
Berangaskotabaru;72152;72200;163.500;54.500
Batulicin;72200;72200;148.500;49.500
Palangkaraya;73000;73000;129.000;43.000
Bahaur;73572;73000;144.000;48.000
Anjirserapat;73581;73000;144.000;48.000
Tamianglayang;73600;73700;178.500;59.500
Ampah;73652;73700;178.500;59.500
Buntok;73700;73700;148.500;49.500
Pendang;73752;73700;178.500;59.500
Bangkuang;73761;73700;178.500;59.500
Mengkatip;73762;73700;178.500;59.500
Jenamas;73763;73700;178.500;59.500
Muaratewe;73800;73700;178.500;59.500
Lahei;73852;73700;163.500;54.500
Purukcau;73900;73700;178.500;59.500
Muaralaung;73991;73700;163.500;54.500
Pangkalanbun;74100;74100;148.500;49.500
Nangabulik;74162;74100;163.500;54.500
Balairiam;74173;74100;163.500;54.500
Kualapembuang;74200;74300;180.000;60.000
Pembuanghulu;74271;74300;178.500;59.500
Sampit;74300;74300;148.500;49.500
Pundu;74341B1;74300;178.500;59.500
Sebabi;74352B1;74300;178.500;59.500
Kotabesi;74353;74300;178.500;59.500
Cempakamulia;74354;74300;178.500;59.500
Parenggean;74355;74300;178.500;59.500
Kualakuayan;74356;74300;184.500;61.500
Samuda;74363;74300;178.500;59.500
Kasungan;74400;73000;144.000;48.000
Pegatanmendawai;74463;73000;159.000;53.000
Kualakurun;74500;73000;144.000;48.000
Samarinda;75000;75000;144.000;48.000
Bontang;75300;75300;178.500;59.500
Anggana;75381;75000;159.000;53.000
Tenggarong;75500;75500;166.500;55.500
Batutimbau;75554;75000;159.000;53.000
Muaramuntai;75562;75500;196.500;65.500
Barongtongkok;75576;75500;181.500;60.500
Sangatta;75600;75300;208.500;69.500
Swargabara;75611;75300;208.500;69.500
Telukpandan;75651B1;75300;208.500;69.500
Bengalon;75653B1;75300;208.500;69.500
Muarawahau;75655;75300;208.500;69.500
Kongbeng;75657;75300;208.500;69.500
Balikpapan;76100;76100;142.500;47.500
Kenangan;76146;76100;157.500;52.500
Batukajang;76252;76100;157.500;52.500
Tanjungselor;77000;77000;192.000;64.000
Tarakan;77100;77100;166.500;55.500
Atap;77153;77100;196.500;65.500
Longbawan;77156;77100;196.500;65.500
Nunukan;77182;77100;196.500;65.500
Sungainyamuk;77183;77100;196.500;65.500
Tanjungpalas;77252B1;77000;223.500;74.500
Salimbatu;77253B1;77000;226.500;75.500
Pulaubunyu;77281B1;77000;222.000;74.000
Tanjungredeb;77300;77300;162.000;54.000
Mensalong;77457;77100;196.500;65.500
Sebuku;77491;77100;196.500;65.500
Malinau;77511B1;77000;222.000;74.000
Longpujungan;77562B1;77000;222.000;74.000
Datadian;77571B1;77000;222.000;74.000
Longnawang;77572B1;77000;222.000;74.000
Tidengpale;77611B1;77000;222.000;74.000
Pontianak;78000;78000;129.000;43.000
Darit;78364;78000;144.000;48.000
Kubu;78384;78000;144.000;48.000
Sanggau;78500;78500;148.500;49.500
Sekadau;78582;78500;154.500;51.500
Sintang;78600;78600;148.500;49.500
Kotabarusintang;78674;78600;163.500;54.500
Badau;78767;78600;163.500;54.500
Ketapang;78800;78800;148.500;49.500
Sukadanakalimantan;78852;78800;163.500;54.500
Mempawah;78900;78000;135.000;45.000
Singkawang;79100;79100;148.500;49.500
Bengkayang;79200;79100;163.500;54.500
Jawai;79454;79100;163.500;54.500
Denpasar;80000;80000;103.500;34.500
Blahkiuh;80352;80000;109.500;36.500
Gianyar;80500;80500;120.000;40.000
Bangli;80600;80500;126.000;42.000
Banjarangkan;80752;80500;126.000;42.000
Abang;80852;80500;126.000;42.000
Singaraja;81100;81100;148.500;49.500
Tabanan;82100;82100;120.000;40.000
Gilimanuk;82253;82100;135.000;45.000
Mataram;83000;83000;106.500;35.500
Anyar;83354;83000;112.500;37.500
Gerung;83363;83000;112.500;37.500
Batujai;83572;83000;112.500;37.500
Selong;83600;83600;135.000;45.000
Bima;84100;84100;135.000;45.000
Bajo;84162;84100;150.000;50.000
Dompu;84200;84100;150.000;50.000
Sumbawabesar;84300;84300;135.000;45.000
Jereweh;84356;84300;150.000;50.000
Kupang;85000;85000;162.000;54.000
Camplong;85363;85000;168.000;56.000
Bolou;85392;85000;177.000;59.000
Soe;85500;85500;187.500;62.500
Kefamenanu;85600;85500;202.500;67.500
Atambua;85700;85700;187.500;62.500
Besikama;85763;85700;193.500;64.500
Baranusa;85882;85000;177.000;59.000
Baa;85971;85000;177.000;59.000
Maumere;86100;86100;187.500;62.500
Boru;86253;86100;202.500;67.500
Ende;86300;86300;187.500;62.500
Aimere;86452;86300;202.500;67.500
Aesesa;86472;86300;193.500;64.500
Ruteng;86511B1;86700;234.000;78.000
Lewoleba;86600;86100;202.500;67.500
Komodo;86700;86700;282.000;94.000
Borong;86811B1;86700;297.000;99.000
Waingapu;87100;87100;187.500;62.500
Waikabubak;87200;87100;202.500;67.500
Elopada;87252;87100;202.500;67.500
Waibakul;87300;87100;202.500;67.500
Makassar;90000;90000;142.500;47.500
Bantimurung;90561;90000;148.500;49.500
Bungoro;90651;90000;148.500;49.500
Barru;90700;91100;168.000;56.000
Batubatu;90852;92700;177.000;59.000
Paria;90991;92700;177.000;59.000
Parepare;91100;91100;162.000;54.000
Mattirosompe;91261;91100;168.000;56.000
Campalagian;91353;91500;177.000;59.000
Mamasa;91362;91500;177.000;59.000
Majene;91400;91500;177.000;59.000
Mamuju;91500;91500;162.000;54.000
Topoyo;91564;91500;177.000;59.000
Pasangkayu;91571;91500;177.000;59.000
Amparita;91671;91100;168.000;56.000
Cakke;91752;91100;177.000;59.000
Makale;91800;91900;168.000;56.000
Rantepao;91890;91900;168.000;56.000
Palopo;91900;91900;162.000;54.000
Batusitanduk;91951;91900;177.000;59.000
Bonebone;91966;91900;168.000;56.000
Kalaenakiri-Ii;91974;91900;177.000;59.000
Borongloe;92172;90000;148.500;49.500
Takalar;92200;90000;148.500;49.500
Allu;92352;92500;177.000;59.000
Bantaeng;92400;92500;168.000;56.000
Bulukumba;92500;92500;162.000;54.000
Bikeru;92661;92500;168.000;56.000
Watampone;92700;92700;162.000;54.000
Selayar;92800;92500;177.000;59.000
Bontosikuyu;92855B1;92500;192.000;64.000
Kendari;93000;93000;157.500;52.500
Tinobu;93352;93000;163.500;54.500
Ambaipua;93372;93000;163.500;54.500
Langara;93393;93000;187.500;62.500
Abuki;93452;93000;163.500;54.500
Lasusua;93553;93000;172.500;57.500
Anaiwoi;93563;93000;172.500;57.500
Ladongi;93573;93000;172.500;57.500
Raha;93600;93000;187.500;62.500
Kambara;93653;93000;187.500;62.500
Lasehao;93661;93000;187.500;62.500
Wakuru;93662;93000;187.500;62.500
Ereke;93672;93700;198.000;66.000
Baubau;93700;93700;183.000;61.000
Sampolawa;93753;93700;189.000;63.000
Banabungi;93754;93700;189.000;63.000
Lombe;93761;93700;189.000;63.000
Boepinang;93772;93000;172.500;57.500
Sikeli;93781;93000;187.500;62.500
Binongko;93794;93700;198.000;66.000
Palu;94000;94000;157.500;52.500
Donggala;94351;94000;172.500;57.500
Binangga;94362;94000;163.500;54.500
Ampibabo;94374;94000;172.500;57.500
Bangkir;94554;94000;172.500;57.500
Leok;94564;94000;172.500;57.500
Kasiguncu;94652;94000;172.500;57.500
Beteleme;94666;94000;172.500;57.500
Kolonedale;94671;94000;172.500;57.500
Ampana;94683;94000;172.500;57.500
Luwuk;94700;94700;183.000;61.000
Salakan;94785;94700;198.000;66.000
Banggai;94791;94700;189.000;63.000
Manado;95000;95000;166.500;55.500
Amurang;95354;95000;181.500;60.500
Airmadidi;95371;95000;172.500;57.500
Tomohon;95400;95000;172.500;57.500
Bitung;95500;95000;172.500;57.500
Eris;95683;95000;172.500;57.500
Belang;95697;95000;181.500;60.500
Kotamobagu;95700;95700;192.000;64.000
Bintauna;95763;95700;207.000;69.000
Bolaangitang;95764;95700;207.000;69.000
Molibagu;95774;95700;198.000;66.000
Modayag;95781;95700;198.000;66.000
Tahuna;95800;95000;196.500;65.500
Manganitu;95853;95000;181.500;60.500
Tamako;95855;95000;196.500;65.500
Ulusiau;95861;95000;196.500;65.500
Ondong;95862;95000;181.500;60.500
Tagulandang;95863;95000;196.500;65.500
Beo;95881;95000;181.500;60.500
Gorontalo;96100;96100;238.500;79.500
Suwawa;96184;96100;244.500;81.500
Atinggola;96253;96100;244.500;81.500
Paguyaman;96261;96100;253.500;84.500
Lemito;96267;96100;253.500;84.500
Batudaa;96271;96100;244.500;81.500
Ambon;97000;97000;171.000;57.000
Amahai;97552;97000;186.000;62.000
Bula;97555;97000;186.000;62.000
Kairatu;97566;97000;186.000;62.000
Airbuaya;97572;97000;186.000;62.000
Leksula;97573;97000;186.000;62.000
Tual;97600;97600;196.500;65.500
Elat;97661;97600;202.500;67.500
Dobo;97662;97600;211.500;70.500
Larat;97663;97600;211.500;70.500
Ternate;97700;97700;180.000;60.000
Jailolo;97752;97700;186.000;62.000
Galela;97761;97700;195.000;65.000
Morotai;97771;97700;195.000;65.000
Labuha;97791;97700;195.000;65.000
Mangole;97796;97700;195.000;65.000
Payahe;97852;97700;186.000;62.000
Gebe;97855;97700;195.000;65.000
Maba;97862;97700;186.000;62.000
Biak;98100;98100;295.500;98.500
Bosnik;98152;98100;325.500;108.500
Yemburwo;98171;98100;325.500;108.500
Serui;98200;98100;333.000;111.000
Waren;98261;98100;366.000;122.000
Manokwari;98300;98300;430.500;143.500
Warmare;98352;98300;460.500;153.500
Oransbari;98353;98300;460.500;153.500
Ransiki;98355;98300;460.500;153.500
Prafi;98356;98300;460.500;153.500
Wasior;98362;98300;484.500;161.500
Babo;98363;98300;460.500;153.500
Bintuni;98364;98300;484.500;161.500
Sorong;98400;98400;367.500;122.500
Aimas;98418;98400;373.500;124.500
Sorongdoom;98451;98400;397.500;132.500
Teminabuan;98454;98400;397.500;132.500
Rajaampat(Ba);98481B1;98400;397.500;132.500
Fakfak;98600;98400;439.500;146.500
Kaimana;98654;98400;481.500;160.500
Enarotali;98700;98800;345.000;115.000
Waghete;98784B1;98800;423.000;141.000
Nabire;98800;98800;309.000;103.000
Makimi;98842B1;98800;423.000;141.000
Moanemani;98862;98800;345.000;115.000
Mulia;98900;98800;327.000;109.000
Jayapura;99000;99000;256.500;85.500
Yahukimo;99047B1;99000;376.500;125.500
Depapre;99353;99000;286.500;95.500
Demta;99354;99000;286.500;95.500
Genyem;99361;99000;286.500;95.500
Lereh;99364;99000;286.500;95.500
Arso;99368;99000;286.500;95.500
Sarmi;99373;99000;316.500;105.500
Wamena;99500;99000;375.000;125.000
Tiom;99531B1;99000;376.500;125.500
Pegununganbintang;99573B1;99000;375.000;125.000
Merauke;99600;99600;295.500;98.500
Bade;99653;99600;345.000;115.000
Kimaam;99655;99600;325.500;108.500
Kurik;99656;99600;325.500;108.500
Asiki;99661B1;99600;370.500;123.500
Mindiptana;99662;99600;325.500;108.500
Tanahmerah;99663;99600;325.500;108.500
Kepi;99671;99600;370.500;123.500
Agats;99677;99600;325.500;108.500
Tanahmiring;99692B1;99600;370.500;123.500
Timika;99900;99900;435.000;145.000
Kualakencana;99920;99900;465.000;155.000
Tembagapura;99930;99900;465.000;155.000
